1.214220e+03	-6.146725e-02	-8.022923e-02	6.802611e-06	6.154851e-02	-1.375072e-05	-1.852039e-04
1.226610e+03	-3.933244e-02	-9.258904e-02	2.302785e-05	3.923496e-02	-7.485549e-06	9.678619e-05
1.239000e+03	-1.365706e-02	-9.944312e-02	-8.113231e-05	1.338576e-02	-2.259103e-05	2.556354e-04
1.251390e+03	1.333445e-02	-9.938327e-02	1.239505e-05	-1.368814e-02	1.379704e-06	3.881298e-04
1.263780e+03	3.879022e-02	-9.213409e-02	-5.608606e-07	-3.912001e-02	-5.051270e-05	3.369905e-04
1.276170e+03	6.196737e-02	-7.843194e-02	3.087588e-05	-6.228361e-02	-2.749571e-06	3.457373e-04
1.288560e+03	8.070932e-02	-5.904937e-02	3.275507e-05	-8.128976e-02	-3.647993e-05	5.251691e-04
1.300950e+03	9.359601e-02	-3.586031e-02	7.350335e-05	-9.426415e-02	6.527237e-05	6.282865e-04
1.313340e+03	9.955747e-02	-9.616378e-03	4.339323e-05	-1.006639e-01	1.653267e-05	6.563726e-04
1.325730e+03	9.890212e-02	1.751607e-02	2.037700e-05	-9.989534e-02	7.681245e-05	7.828465e-04
1.338120e+03	9.073696e-02	4.337278e-02	5.157745e-05	-9.150713e-02	6.054611e-05	7.748227e-04
1.350510e+03	7.598845e-02	6.573412e-02	-1.312212e-05	-7.665073e-02	1.261892e-04	7.033270e-04
1.362900e+03	5.608954e-02	8.365973e-02	-6.248956e-05	-5.684801e-02	1.158825e-04	7.636363e-04
1.375290e+03	3.193787e-02	9.578644e-02	-7.507537e-05	-3.284918e-02	9.096804e-05	8.911949e-04
1.387680e+03	5.621744e-03	1.012474e-01	-7.379151e-05	-6.472565e-03	5.429963e-05	8.639859e-04
1.400070e+03	-2.146515e-02	9.915943e-02	-1.201689e-04	2.061304e-02	5.465309e-05	8.379246e-04
1.412460e+03	-4.689980e-02	9.033007e-02	-2.210153e-05	4.613267e-02	-4.149513e-05	7.880878e-04
1.424850e+03	-6.943553e-02	7.492298e-02	-8.138058e-05	6.864890e-02	-4.281932e-05	7.831684e-04
1.437240e+03	-8.762982e-02	5.362677e-02	-4.122561e-05	8.680251e-02	-6.790422e-05	8.185347e-04
1.449630e+03	-9.894990e-02	2.820801e-02	3.454571e-05	9.797454e-02	-5.983703e-05	8.080947e-04
1.462020e+03	-1.032961e-01	-7.063828e-05	-7.731928e-05	1.021482e-01	-8.880216e-05	8.999035e-04
1.474410e+03	-9.962242e-02	-2.865733e-02	2.263545e-06	9.892313e-02	-5.883058e-05	8.238563e-04
1.486800e+03	-8.753526e-02	-5.502332e-02	1.058206e-04	8.687241e-02	-3.652542e-05	6.580735e-04
1.499190e+03	-6.906471e-02	-7.720188e-02	4.470245e-05	6.844581e-02	-4.749613e-05	6.249651e-04
1.511580e+03	-4.477980e-02	-9.397645e-02	6.818560e-05	4.412353e-02	-2.054805e-05	6.085496e-04
1.523970e+03	-1.611893e-02	-1.024184e-01	7.787576e-05	1.555317e-02	-1.948995e-05	5.286083e-04
1.536360e+03	1.432072e-02	-1.036020e-01	7.923626e-05	-1.479335e-02	-3.313834e-06	4.799564e-04
1.548750e+03	4.380833e-02	-9.555913e-02	7.846377e-05	-4.403601e-02	4.756146e-05	2.728086e-04
1.561140e+03	7.048069e-02	-7.931260e-02	1.579546e-05	-7.071571e-02	-1.519246e-06	2.360367e-04
1.573530e+03	9.143319e-02	-5.541722e-02	5.768597e-05	-9.160077e-02	5.065429e-05	2.050848e-04
1.585920e+03	1.055724e-01	-2.587837e-02	4.467099e-05	-1.057400e-01	8.408779e-05	2.981208e-04
1.598310e+03	1.086842e-01	7.526319e-03	2.393746e-05	-1.088518e-01	9.146176e-05	6.894292e-05
1.610700e+03	1.023651e-01	4.035975e-02	-2.322964e-05	-1.018049e-01	8.624375e-05	-6.638570e-05
1.623090e+03	8.593354e-02	6.996263e-02	-7.676273e-05	-8.576866e-02	1.492510e-04	-1.205567e-04
1.635480e+03	6.048509e-02	9.368411e-02	-1.070631e-04	-6.034862e-02	9.180974e-05	-1.591997e-04
1.647870e+03	2.859335e-02	1.083726e-01	-7.451320e-05	-2.835944e-02	-1.429293e-05	-2.178240e-04
1.660260e+03	-6.771457e-03	1.126740e-01	-1.111777e-04	6.991789e-03	-1.794625e-05	-2.237288e-04
1.672650e+03	-4.176175e-02	1.064841e-01	-1.013457e-04	4.203469e-02	-7.740526e-05	-2.886884e-04
1.685040e+03	-7.367458e-02	8.708208e-02	-1.065494e-04	7.418410e-02	-8.322094e-05	-5.248213e-04
1.697430e+03	-9.811555e-02	5.943103e-02	-7.962576e-06	9.857719e-02	-1.316788e-04	-5.573848e-04
1.709820e+03	-1.131107e-01	2.457658e-02	3.074180e-05	1.128873e-01	-1.386456e-04	-2.829071e-04
1.722210e+03	-1.147292e-01	-1.435356e-02	1.947132e-04	1.155617e-01	-1.047262e-04	-3.471057e-04
1.734600e+03	-1.036079e-01	-5.173658e-02	3.585790e-05	1.042946e-01	-6.157759e-05	-5.503403e-04
1.746990e+03	-8.047397e-02	-8.367087e-02	1.092462e-04	8.092322e-02	-2.174136e-05	-4.908809e-04
1.759380e+03	-4.746619e-02	-1.056677e-01	2.244756e-04	4.808421e-02	3.598594e-05	-5.859070e-04
1.771770e+03	-9.508842e-03	-1.163076e-01	1.485981e-04	1.003247e-02	7.178520e-05	-5.144054e-04
1.784160e+03	3.021573e-02	-1.126425e-01	9.170650e-05	-2.980017e-02	1.801603e-05	-4.678836e-04
