L1   thessaloniki_sfho_135135 36 16.9594 2.5 0.863113 0.863113
H1   thessaloniki_sfho_135135 36 12.946 2.5 0.857225 0.857225
V1   thessaloniki_sfho_135135 36 2.81988 2.5 0.0824391 0.170214
L1   thessaloniki_sfho_135135 36 11.1085 2.5 0.69045 0.69045
H1   thessaloniki_sfho_135135 36 13.7008 2.5 0.698207 0.720852
V1   thessaloniki_sfho_135135 36 2.92719 2.5 0.444342 0.539472
L1   thessaloniki_sfho_135135 36 9.39659 2.5 0.809314 0.809314
H1   thessaloniki_sfho_135135 36 11.7183 2.5 0.835661 0.835661
V1   thessaloniki_sfho_135135 36 1.93398 2.5 -0.165457 0.313044
L1   thessaloniki_sfho_135135 36 16.9382 2.5 0.849288 0.849288
H1   thessaloniki_sfho_135135 36 16.2475 2.5 0.853034 0.853034
V1   thessaloniki_sfho_135135 36 3.18834 2.5 -0.00119242 0.132566
L1   thessaloniki_sfho_135135 12 8.61713 2.5 0.764356 0.764356
H1   thessaloniki_sfho_135135 12 10.279 2.5 0.712968 0.712968
V1   thessaloniki_sfho_135135 12 1.38193 2.5 0.0174348 0.327742
L1   thessaloniki_sfho_135135 12 11.2475 2.5 0.735933 0.735933
H1   thessaloniki_sfho_135135 12 11.535 2.5 0.731745 0.731745
V1   thessaloniki_sfho_135135 12 2.74846 2.5 0.437058 0.437058
L1   thessaloniki_sfho_135135 32 13.6771 2.5 0.818398 0.818398
H1   thessaloniki_sfho_135135 32 13.3339 2.5 0.80503 0.80503
V1   thessaloniki_sfho_135135 32 4.38914 2.5 0.330716 0.52548
L1   thessaloniki_sfho_135135 32 13.4198 2.5 0.768577 0.768577
H1   thessaloniki_sfho_135135 32 12.6009 2.5 0.805593 0.805593
V1   thessaloniki_sfho_135135 32 4.15136 2.5 0.0118735 0.0823383
L1   thessaloniki_sfho_135135 32 8.68957 2.5 0.774064 0.774064
H1   thessaloniki_sfho_135135 32 11.334 2.5 0.718189 0.718189
V1   thessaloniki_sfho_135135 32 1.14924 2.5 0.190589 0.253836
L1   thessaloniki_sfho_135135 37 9.09204 2.5 0.702395 0.702395
H1   thessaloniki_sfho_135135 37 3.37066 2.5 0.543517 0.543517
V1   thessaloniki_sfho_135135 37 6.07261 2.5 0.683984 0.683984
L1   thessaloniki_sfho_135135 37 9.3142 2.5 0.781275 0.781275
H1   thessaloniki_sfho_135135 37 11.7252 2.5 0.745855 0.745855
V1   thessaloniki_sfho_135135 37 5.69603 2.5 0.723096 0.723096
L1   thessaloniki_sfho_135135 37 9.92612 2.5 0.821986 0.821986
H1   thessaloniki_sfho_135135 37 11.579 2.5 0.834176 0.834176
V1   thessaloniki_sfho_135135 37 0.903822 2.5 -0.0498216 0.0603081
L1   thessaloniki_sfho_135135 35 13.6444 2.5 0.782598 0.782598
H1   thessaloniki_sfho_135135 35 10.2882 2.5 0.764971 0.764971
V1   thessaloniki_sfho_135135 35 2.31947 2.5 0.0576383 0.0720426
L1   thessaloniki_sfho_135135 35 7.49026 2.5 0.78707 0.78707
H1   thessaloniki_sfho_135135 35 6.64495 2.5 0.797417 0.797417
V1   thessaloniki_sfho_135135 35 3.48649 2.5 0.803395 0.803395
L1   thessaloniki_sfho_135135 35 10.4642 2.5 0.782407 0.782407
H1   thessaloniki_sfho_135135 35 11.3585 2.5 0.778374 0.778374
V1   thessaloniki_sfho_135135 35 1.7759 2.5 0.189738 0.571814
L1   thessaloniki_sfho_135135 35 10.8 2.5 0.728816 0.728816
H1   thessaloniki_sfho_135135 35 12.5066 2.5 0.752459 0.752459
V1   thessaloniki_sfho_135135 35 1.01483 2.5 0.106759 0.316127
L1   thessaloniki_sfho_135135 35 9.90136 2.5 0.626451 0.626451
H1   thessaloniki_sfho_135135 35 7.66674 2.5 0.715013 0.715013
V1   thessaloniki_sfho_135135 35 4.75571 2.5 0.00107541 0.00929769
L1   thessaloniki_sfho_135135 35 10.2885 2.5 0.76719 0.76719
H1   thessaloniki_sfho_135135 35 8.51999 2.5 0.665058 0.665058
V1   thessaloniki_sfho_135135 35 6.77308 2.5 0.205598 0.260632
L1   thessaloniki_sfho_135135 26 9.44984 2.5 0.704941 0.704941
H1   thessaloniki_sfho_135135 26 11.5629 2.5 0.72174 0.72174
V1   thessaloniki_sfho_135135 26 1.80193 2.5 -8.5555e-05 0.00665194
L1   thessaloniki_sfho_135135 26 15.665 2.5 0.861368 0.861368
H1   thessaloniki_sfho_135135 26 12.5982 2.5 0.849564 0.849564
V1   thessaloniki_sfho_135135 26 3.35547 2.5 0.0435476 0.047391
L1   thessaloniki_sfho_135135 26 9.41628 2.5 0.773793 0.773793
H1   thessaloniki_sfho_135135 26 9.27526 2.5 0.78708 0.78708
V1   thessaloniki_sfho_135135 26 1.93652 2.5 0.316178 0.334216
L1   thessaloniki_sfho_135135 7 10.343 2.5 0.609052 0.609052
H1   thessaloniki_sfho_135135 7 12.2956 2.5 0.796619 0.796619
V1   thessaloniki_sfho_135135 7 1.62872 2.5 0.0802125 0.200286
L1   thessaloniki_sfho_135135 7 11.8916 2.5 0.7406 0.7406
H1   thessaloniki_sfho_135135 7 8.93961 2.5 0.644724 0.644724
V1   thessaloniki_sfho_135135 7 2.14742 2.5 -0.0116329 0.172906
L1   thessaloniki_sfho_135135 7 8.24045 2.5 0.677399 0.677399
H1   thessaloniki_sfho_135135 7 11.3981 2.5 0.745937 0.745937
V1   thessaloniki_sfho_135135 7 3.58226 2.5 0.0168233 0.0761424
L1   thessaloniki_sfho_135135 16 17.4749 2.5 0.867565 0.867565
H1   thessaloniki_sfho_135135 16 14.4756 2.5 0.881457 0.881457
V1   thessaloniki_sfho_135135 16 4.17363 2.5 -0.0221365 0.0321282
L1   thessaloniki_sfho_135135 4 10.9072 2.5 0.834604 0.834604
H1   thessaloniki_sfho_135135 4 10.8794 2.5 0.857026 0.857026
V1   thessaloniki_sfho_135135 4 0.864904 2.5 0.034814 0.100691
L1   thessaloniki_sfho_135135 4 14.5432 2.5 0.799325 0.799325
H1   thessaloniki_sfho_135135 4 11.0633 2.5 0.807862 0.807862
V1   thessaloniki_sfho_135135 4 3.59531 2.5 0.0899367 0.583454
L1   thessaloniki_sfho_135135 21 10.277 2.5 0.753282 0.753282
H1   thessaloniki_sfho_135135 21 8.315 2.5 0.748014 0.748014
V1   thessaloniki_sfho_135135 21 3.70378 2.5 0.767659 0.767659
L1   thessaloniki_sfho_135135 21 7.51716 2.5 0.67921 0.774155
H1   thessaloniki_sfho_135135 21 9.35287 2.5 0.765124 0.765124
V1   thessaloniki_sfho_135135 21 5.81802 2.5 0.129676 0.582431
L1   thessaloniki_sfho_135135 21 9.32154 2.5 0.756599 0.756599
H1   thessaloniki_sfho_135135 21 13.025 2.5 0.765187 0.765187
V1   thessaloniki_sfho_135135 21 2.15869 2.5 0.167655 0.33839
L1   thessaloniki_sfho_135135 21 12.5201 2.5 0.803822 0.803822
H1   thessaloniki_sfho_135135 21 14.4601 2.5 0.810831 0.810831
V1   thessaloniki_sfho_135135 21 3.43169 2.5 0.261361 0.394975
L1   thessaloniki_sfho_135135 21 15.8998 2.5 0.823894 0.823894
H1   thessaloniki_sfho_135135 21 12.4246 2.5 0.795234 0.795234
V1   thessaloniki_sfho_135135 21 2.33551 2.5 0.0755624 0.163143
L1   thessaloniki_sfho_135135 24 11.7569 2.5 0.836147 0.836147
H1   thessaloniki_sfho_135135 24 9.77862 2.5 0.824918 0.824918
V1   thessaloniki_sfho_135135 24 3.76035 2.5 -0.133612 0.395211
L1   thessaloniki_sfho_135135 20 7.10699 2.5 0.720518 0.720518
H1   thessaloniki_sfho_135135 20 10.4949 2.5 0.80407 0.80407
V1   thessaloniki_sfho_135135 20 4.2125 2.5 0.709459 0.709459
L1   thessaloniki_sfho_135135 20 6.1313 2.5 0.791144 0.791144
H1   thessaloniki_sfho_135135 20 8.19937 2.5 0.771028 0.783281
V1   thessaloniki_sfho_135135 20 3.5141 2.5 0.159135 0.165574
L1   thessaloniki_sfho_135135 20 9.91768 2.5 0.797947 0.797947
H1   thessaloniki_sfho_135135 20 9.42625 2.5 0.803668 0.803668
V1   thessaloniki_sfho_135135 20 1.98847 2.5 -0.0175517 0.117946
L1   thessaloniki_sfho_135135 15 9.46944 2.5 0.738503 0.738503
H1   thessaloniki_sfho_135135 15 11.8042 2.5 0.759988 0.759988
V1   thessaloniki_sfho_135135 15 4.64366 2.5 0.00484038 0.0132031
L1   thessaloniki_sfho_135135 15 10.6702 2.5 0.799342 0.799342
H1   thessaloniki_sfho_135135 15 10.3033 2.5 0.808116 0.808116
V1   thessaloniki_sfho_135135 15 1.20886 2.5 0.0770271 0.17113
L1   thessaloniki_sfho_135135 15 11.7214 2.5 0.814164 0.814164
H1   thessaloniki_sfho_135135 15 11.1675 2.5 0.765367 0.765367
V1   thessaloniki_sfho_135135 15 3.71948 2.5 0.380472 0.409981
L1   thessaloniki_sfho_135135 15 14.1655 2.5 0.805746 0.805746
H1   thessaloniki_sfho_135135 15 13.8482 2.5 0.777613 0.777613
V1   thessaloniki_sfho_135135 15 2.86176 2.5 0.453447 0.779182
L1   thessaloniki_sfho_135135 2 12.6539 2.5 0.84579 0.84579
H1   thessaloniki_sfho_135135 2 15.0891 2.5 0.847017 0.847017
V1   thessaloniki_sfho_135135 2 2.527 2.5 0.00749416 0.232529
L1   thessaloniki_sfho_135135 2 11.8753 2.5 0.861725 0.861725
H1   thessaloniki_sfho_135135 2 8.11467 2.5 0.842687 0.842687
V1   thessaloniki_sfho_135135 2 4.37866 2.5 0.826675 0.826675
L1   thessaloniki_sfho_135135 2 11.2045 2.5 0.80641 0.80641
H1   thessaloniki_sfho_135135 2 5.95737 2.5 0.795953 0.795953
V1   thessaloniki_sfho_135135 2 4.93251 2.5 0.637787 0.826296
L1   thessaloniki_sfho_135135 2 14.0231 2.5 0.833731 0.833731
H1   thessaloniki_sfho_135135 2 14.095 2.5 0.843639 0.843639
V1   thessaloniki_sfho_135135 2 1.68273 2.5 0.00838238 0.119943
L1   thessaloniki_sfho_135135 2 10.5321 2.5 0.831357 0.831357
H1   thessaloniki_sfho_135135 2 9.42634 2.5 0.833343 0.833343
V1   thessaloniki_sfho_135135 2 2.74846 2.5 0.157264 0.505672
L1   thessaloniki_sfho_135135 2 12.1282 2.5 0.839122 0.839122
H1   thessaloniki_sfho_135135 2 8.59953 2.5 0.822905 0.822905
V1   thessaloniki_sfho_135135 2 4.01388 2.5 0.666725 0.666725
L1   thessaloniki_sfho_135135 3 10.432 2.5 0.779008 0.779008
H1   thessaloniki_sfho_135135 3 8.30199 2.5 0.606347 0.606347
V1   thessaloniki_sfho_135135 3 7.26794 2.5 0.793466 0.793466
L1   thessaloniki_sfho_135135 3 8.24165 2.5 0.749671 0.749671
H1   thessaloniki_sfho_135135 3 9.59338 2.5 0.810217 0.810217
V1   thessaloniki_sfho_135135 3 1.56793 2.5 0.316863 0.58357
L1   thessaloniki_sfho_135135 3 8.33611 2.5 0.818578 0.818578
H1   thessaloniki_sfho_135135 3 12.3194 2.5 0.839411 0.839411
V1   thessaloniki_sfho_135135 3 3.56775 2.5 0.40819 0.445308
L1   thessaloniki_sfho_135135 6 16.3015 2.5 0.825206 0.825206
H1   thessaloniki_sfho_135135 6 16.4648 2.5 0.805382 0.805382
V1   thessaloniki_sfho_135135 6 2.55865 2.5 -0.064383 0.144552
L1   thessaloniki_sfho_135135 6 11.8054 2.5 0.77194 0.77194
H1   thessaloniki_sfho_135135 6 7.86017 2.5 0.776338 0.776338
V1   thessaloniki_sfho_135135 6 1.17728 2.5 0.0540238 0.2295
L1   thessaloniki_sfho_135135 6 10.5731 2.5 0.73362 0.73362
H1   thessaloniki_sfho_135135 6 8.02342 2.5 0.711074 0.711074
V1   thessaloniki_sfho_135135 6 1.13336 2.5 0.00644213 0.0473638
L1   thessaloniki_sfho_135135 28 6.98079 2.5 0.787244 0.787244
H1   thessaloniki_sfho_135135 28 11.7566 2.5 0.821309 0.821309
V1   thessaloniki_sfho_135135 28 3.10251 2.5 0.0622173 0.214511
L1   thessaloniki_sfho_135135 28 13.8601 2.5 0.883959 0.883959
H1   thessaloniki_sfho_135135 28 14.7188 2.5 0.882475 0.882475
V1   thessaloniki_sfho_135135 28 1.51156 2.5 -0.013091 0.123342
L1   thessaloniki_sfho_135135 28 15.4358 2.5 0.838853 0.838853
H1   thessaloniki_sfho_135135 28 11.8662 2.5 0.855082 0.855082
V1   thessaloniki_sfho_135135 28 2.73264 2.5 0.216322 0.461515
L1   thessaloniki_sfho_135135 28 4.91489 2.5 0.664814 0.682413
H1   thessaloniki_sfho_135135 28 8.17279 2.5 0.747799 0.747799
V1   thessaloniki_sfho_135135 28 2.74737 2.5 0.716989 0.716989
L1   thessaloniki_sfho_135135 25 14.2822 2.5 0.841238 0.841238
H1   thessaloniki_sfho_135135 25 15.1708 2.5 0.83647 0.83647
V1   thessaloniki_sfho_135135 25 1.84302 2.5 -0.00022018 0.00265445
L1   thessaloniki_sfho_135135 25 8.7525 2.5 0.785393 0.785393
H1   thessaloniki_sfho_135135 25 11.239 2.5 0.78169 0.78169
V1   thessaloniki_sfho_135135 25 6.14309 2.5 0.0568501 0.13238
L1   thessaloniki_sfho_135135 25 11.3456 2.5 0.811034 0.811034
H1   thessaloniki_sfho_135135 25 15.3327 2.5 0.879793 0.879793
V1   thessaloniki_sfho_135135 25 1.39104 2.5 0.208785 0.561005
L1   thessaloniki_sfho_135135 17 9.61456 2.5 0.829004 0.829004
H1   thessaloniki_sfho_135135 17 10.3921 2.5 0.809972 0.809972
V1   thessaloniki_sfho_135135 17 1.0361 2.5 -0.00940138 0.121028
L1   thessaloniki_sfho_135135 17 13.5002 2.5 0.823395 0.823395
H1   thessaloniki_sfho_135135 17 12.2269 2.5 0.817122 0.817122
V1   thessaloniki_sfho_135135 17 2.46897 2.5 0.000508078 0.00614242
L1   thessaloniki_sfho_135135 17 12.1777 2.5 0.795417 0.795417
H1   thessaloniki_sfho_135135 17 10.7057 2.5 0.727384 0.727384
V1   thessaloniki_sfho_135135 17 2.73475 2.5 0.177144 0.364467
L1   thessaloniki_sfho_135135 30 10.9558 2.5 0.771401 0.771401
H1   thessaloniki_sfho_135135 30 11.4751 2.5 0.764752 0.764752
V1   thessaloniki_sfho_135135 30 3.45927 2.5 0.325879 0.555416
L1   thessaloniki_sfho_135135 30 14.5186 2.5 0.84307 0.84307
H1   thessaloniki_sfho_135135 30 14.9069 2.5 0.837948 0.837948
V1   thessaloniki_sfho_135135 30 1.09939 2.5 0.00292261 0.00754177
L1   thessaloniki_sfho_135135 30 9.08907 2.5 0.795698 0.795698
H1   thessaloniki_sfho_135135 30 13.8605 2.5 0.81209 0.81209
V1   thessaloniki_sfho_135135 30 2.43729 2.5 0.602401 0.602401
L1   thessaloniki_sfho_135135 11 9.26193 2.5 0.781057 0.781057
H1   thessaloniki_sfho_135135 11 11.5335 2.5 0.797645 0.797645
V1   thessaloniki_sfho_135135 11 0.089962 2.5 0.0062942 0.37454
L1   thessaloniki_sfho_135135 11 11.1654 2.5 0.697274 0.697274
H1   thessaloniki_sfho_135135 11 7.2871 2.5 0.690061 0.690061
V1   thessaloniki_sfho_135135 11 2.24381 2.5 0.194356 0.623356
L1   thessaloniki_sfho_135135 11 11.0755 2.5 0.782008 0.782008
H1   thessaloniki_sfho_135135 11 12.8223 2.5 0.773922 0.773922
V1   thessaloniki_sfho_135135 11 1.46097 2.5 0.174333 0.353752
L1   thessaloniki_sfho_135135 11 9.6471 2.5 0.805198 0.805198
H1   thessaloniki_sfho_135135 11 12.4259 2.5 0.77307 0.77307
V1   thessaloniki_sfho_135135 11 4.60914 2.5 0.785265 0.785265
L1   thessaloniki_sfho_135135 11 10.0318 2.5 0.791341 0.791341
H1   thessaloniki_sfho_135135 11 5.72951 2.5 0.317004 0.470511
V1   thessaloniki_sfho_135135 11 6.31848 2.5 0.770935 0.770935
L1   thessaloniki_sfho_135135 23 12.7139 2.5 0.801304 0.801304
H1   thessaloniki_sfho_135135 23 7.91542 2.5 0.799025 0.799025
V1   thessaloniki_sfho_135135 23 2.40376 2.5 0.0371338 0.203174
L1   thessaloniki_sfho_135135 23 7.84882 2.5 0.800554 0.800554
H1   thessaloniki_sfho_135135 23 9.29445 2.5 0.80244 0.80244
V1   thessaloniki_sfho_135135 23 5.71625 2.5 0.649595 0.649595
L1   thessaloniki_sfho_135135 23 13.9679 2.5 0.792122 0.792122
H1   thessaloniki_sfho_135135 23 16.8393 2.5 0.825037 0.825037
V1   thessaloniki_sfho_135135 23 1.57627 2.5 -0.0346236 0.137615
L1   thessaloniki_sfho_135135 23 9.81957 2.5 0.80221 0.80221
H1   thessaloniki_sfho_135135 23 14.5134 2.5 0.857812 0.857812
V1   thessaloniki_sfho_135135 23 1.79488 2.5 -0.011994 0.342368
L1   thessaloniki_sfho_135135 9 9.64028 2.5 0.796936 0.796936
