L1   thessaloniki_tm1_135135 16 11.7103 2.5 0.815007 0.815007
H1   thessaloniki_tm1_135135 16 12.8001 2.5 0.831381 0.831381
V1   thessaloniki_tm1_135135 16 2.38391 2.5 -0.0153651 0.0575542
L1   thessaloniki_tm1_135135 5 9.03978 2.5 0.732168 0.732168
H1   thessaloniki_tm1_135135 5 9.30979 2.5 0.762731 0.762731
V1   thessaloniki_tm1_135135 5 1.56216 2.5 -0.000238115 0.00301344
L1   thessaloniki_tm1_135135 14 8.60244 2.5 0.719734 0.719734
H1   thessaloniki_tm1_135135 14 11.259 2.5 0.763164 0.763164
V1   thessaloniki_tm1_135135 14 1.41204 2.5 -0.0649501 0.368229
L1   thessaloniki_tm1_135135 17 8.68043 2.5 0.702428 0.702428
H1   thessaloniki_tm1_135135 17 11.1409 2.5 0.783308 0.783308
V1   thessaloniki_tm1_135135 17 2.81557 2.5 0.17728 0.288881
L1   thessaloniki_tm1_135135 17 9.40086 2.5 0.659301 0.659301
H1   thessaloniki_tm1_135135 17 10.382 2.5 0.658958 0.658958
V1   thessaloniki_tm1_135135 17 0.873659 2.5 -0.0838609 0.154949
L1   thessaloniki_tm1_135135 25 7.05471 2.5 0.614867 0.614867
H1   thessaloniki_tm1_135135 25 7.49294 2.5 0.599046 0.599046
V1   thessaloniki_tm1_135135 25 2.17558 2.5 0.329184 0.560635
L1   thessaloniki_tm1_135135 15 11.1543 2.5 0.770954 0.770954
H1   thessaloniki_tm1_135135 15 11.6594 2.5 0.771846 0.771846
V1   thessaloniki_tm1_135135 15 1.99602 2.5 0.00128308 0.0295473
L1   thessaloniki_tm1_135135 15 11.662 2.5 0.792638 0.792638
H1   thessaloniki_tm1_135135 15 11.6317 2.5 0.812516 0.812516
V1   thessaloniki_tm1_135135 15 1.53843 2.5 0.0770963 0.27661
L1   thessaloniki_tm1_135135 20 9.97657 2.5 0.661396 0.661396
H1   thessaloniki_tm1_135135 20 10.6153 2.5 0.661123 0.661123
V1   thessaloniki_tm1_135135 20 2.09959 2.5 -0.00176714 0.0162333
L1   thessaloniki_tm1_135135 26 8.29309 2.5 0.594346 0.594346
H1   thessaloniki_tm1_135135 26 11.6709 2.5 0.691969 0.691969
V1   thessaloniki_tm1_135135 26 0.684224 2.5 0.0610479 0.348844
L1   thessaloniki_tm1_135135 26 11.5173 2.5 0.79782 0.79782
H1   thessaloniki_tm1_135135 26 9.63448 2.5 0.722737 0.722737
V1   thessaloniki_tm1_135135 26 1.17595 2.5 -0.0042432 0.0319092
L1   thessaloniki_tm1_135135 36 10.6523 2.5 0.719953 0.719953
H1   thessaloniki_tm1_135135 36 8.1558 2.5 0.721114 0.721114
V1   thessaloniki_tm1_135135 36 1.83837 2.5 0.00349204 0.0360947
L1   thessaloniki_tm1_135135 36 9.95954 2.5 0.820536 0.820536
H1   thessaloniki_tm1_135135 36 10.0861 2.5 0.789812 0.789812
V1   thessaloniki_tm1_135135 36 3.6599 2.5 0.00483157 0.00860187
L1   thessaloniki_tm1_135135 28 13.6031 2.5 0.786743 0.786743
H1   thessaloniki_tm1_135135 28 11.5152 2.5 0.782401 0.782401
V1   thessaloniki_tm1_135135 28 2.6904 2.5 0.126896 0.160944
L1   thessaloniki_tm1_135135 28 8.2102 2.5 0.690067 0.690067
H1   thessaloniki_tm1_135135 28 11.4367 2.5 0.698261 0.698261
V1   thessaloniki_tm1_135135 28 3.02553 2.5 0.207061 0.216429
L1   thessaloniki_tm1_135135 19 11.5954 5 0.73059 0.73059
H1   thessaloniki_tm1_135135 19 10.4343 5 0.728853 0.728853
V1   thessaloniki_tm1_135135 19 2.09365 5 -0.000366671 0.0203285
L1   thessaloniki_tm1_135135 19 14.3164 5 0.850207 0.850207
H1   thessaloniki_tm1_135135 19 17.9048 5 0.899718 0.899718
V1   thessaloniki_tm1_135135 19 7.80077 5 0.796052 0.796052
L1   thessaloniki_tm1_135135 19 8.98924 5 0.597547 0.597547
H1   thessaloniki_tm1_135135 19 7.54567 5 0.592648 0.592648
V1   thessaloniki_tm1_135135 19 3.90577 5 0.37854 0.37854
L1   thessaloniki_tm1_135135 19 10.4195 5 0.814689 0.814689
H1   thessaloniki_tm1_135135 19 8.05913 5 0.740713 0.740713
V1   thessaloniki_tm1_135135 19 7.72909 5 0.748685 0.748685
L1   thessaloniki_tm1_135135 19 13.5962 5 0.793222 0.793222
H1   thessaloniki_tm1_135135 19 12.6438 5 0.788873 0.788873
V1   thessaloniki_tm1_135135 19 4.63618 5 0.363839 0.523616
L1   thessaloniki_tm1_135135 19 12.5014 5 0.775102 0.775102
H1   thessaloniki_tm1_135135 19 13.0316 5 0.759912 0.759912
V1   thessaloniki_tm1_135135 19 1.04958 5 -0.00100012 0.0373326
