time_min	time_mean	time_maxl	time_max	ra	psi	logw	loghrss	logprior	logl	frequency	deltaloglv1	deltalogll1	deltaloglh1	deltalogl	dec	bandwidth	alpha	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	1.08959659187581e+00	-2.85000970069659e+01	-4.94639035296458e+01	1.37480650176092e+02	-3.79115603617469e+04	1.52549319263411e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.78961926408418e+02	8.49215924739838e-01	8.81441676775358e+01	5.91405973999111e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.24934567712249e+00	-2.79413641374474e+01	-4.94349530693710e+01	1.35380581432484e+02	-3.79107022009346e+04	1.52897239000194e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.79820087220687e+02	8.49215924739838e-01	9.31001276142962e+01	2.43582638962134e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.17492731283711e+00	-2.92648923493054e+01	-4.96420578265067e+01	1.36367569083171e+02	-3.79106196227985e+04	1.56254419551741e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.79902665356771e+02	8.49215924739838e-01	9.22431808048664e+01	1.87759750830276e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	2.66775782987693e+00	-2.95708116585522e+01	-4.94470839672035e+01	1.35934892447809e+02	-3.79101119162396e+04	1.56065028134896e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.80410371915721e+02	8.49215924739838e-01	9.18812289218339e+01	2.68319103618048e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143564e+09	1.10631698148418e+09	8.04744482040405e-01	4.13440900752075e-01	-2.64879164641466e+01	-4.94801129207291e+01	1.35384061934011e+02	-3.79099223324880e+04	1.54222229124032e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.80599955667298e+02	8.49215924739838e-01	9.34053085564196e+01	2.04803236542185e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.23856753347827e+00	-2.68287051254720e+01	-4.95518167241715e+01	1.36801946137146e+02	-3.79094732353131e+04	1.55012106332303e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.81049052842194e+02	8.49215924739838e-01	9.05396873731953e+01	1.91416520932894e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	2.76132722446493e+00	-2.87142444202189e+01	-4.95536504861748e+01	1.37474652712994e+02	-3.79094421157840e+04	1.53757753345763e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.81080172371294e+02	8.49215924739838e-01	8.88590426329435e+01	2.60322205783242e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.22762563212559e+00	-2.99840961463905e+01	-4.95546110274123e+01	1.37264904572174e+02	-3.79090948647878e+04	1.55034417223112e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.81427423367524e+02	8.49215924739838e-01	8.94024256519236e+01	2.19478922835929e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.23074004945362e+00	-2.69607557430431e+01	-4.96058150203469e+01	1.36963941025673e+02	-3.79088321659237e+04	1.55012106332303e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.81690122231623e+02	8.49215924739838e-01	9.05396873731953e+01	1.91416520932894e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143503e+09	1.10631698148418e+09	8.04744482040405e-01	2.59035972321597e-01	-2.91235846817879e+01	-4.92371822045169e+01	1.33389855279085e+02	-3.79087413010717e+04	1.55143096638107e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.81780987083621e+02	8.49215924739838e-01	9.62288190649069e+01	2.29996385633275e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	6.03956558388628e-01	-2.95424879053099e+01	-4.97765086267350e+01	1.34295482986712e+02	-3.79087359561673e+04	1.55049896804185e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.81786331987998e+02	8.49215924739838e-01	9.77448847934664e+01	5.09884412375978e+00	
